timestamp,demand
2020-01-01 00:00:00,4722
2020-01-02 00:00:00,4717
2020-01-03 00:00:00,4744
2020-01-04 00:00:00,4700
2020-01-05 00:00:00,4701
2020-01-06 00:00:00,3750
2020-01-07 00:00:00,3774
2020-01-08 00:00:00,4746
2020-01-09 00:00:00,4715
2020-01-10 00:00:00,4707
2020-01-11 00:00:00,4714
2020-01-12 00:00:00,4705
2020-01-13 00:00:00,3772
2020-01-14 00:00:00,3748
2020-01-15 00:00:00,4749
2020-01-16 00:00:00,4704
2020-01-17 00:00:00,4742
2020-01-18 00:00:00,4696
2020-01-19 00:00:00,4712
2020-01-20 00:00:00,3786
2020-01-21 00:00:00,3755
2020-01-22 00:00:00,4743
2020-01-23 00:00:00,4756
2020-01-24 00:00:00,4713
2020-01-25 00:00:00,4767
2020-01-26 00:00:00,4704
2020-01-27 00:00:00,3772
2020-01-28 00:00:00,3724
2020-01-29 00:00:00,4736
2020-01-30 00:00:00,4740
2020-01-31 00:00:00,4723
2020-02-01 00:00:00,4709
2020-02-02 00:00:00,4767
2020-02-03 00:00:00,3731
2020-02-04 00:00:00,3768
2020-02-05 00:00:00,4676
2020-02-06 00:00:00,4709
2020-02-07 00:00:00,4719
2020-02-08 00:00:00,4726
2020-02-09 00:00:00,4723
2020-02-10 00:00:00,3807
2020-02-11 00:00:00,3808
2020-02-12 00:00:00,4777
2020-02-13 00:00:00,4718
2020-02-14 00:00:00,4684
2020-02-15 00:00:00,4752
2020-02-16 00:00:00,4759
2020-02-17 00:00:00,3774
2020-02-18 00:00:00,3768
2020-02-19 00:00:00,4760
2020-02-20 00:00:00,4743
2020-02-21 00:00:00,4740
2020-02-22 00:00:00,4698
2020-02-23 00:00:00,4714
2020-02-24 00:00:00,3782
2020-02-25 00:00:00,3754
2020-02-26 00:00:00,4730
2020-02-27 00:00:00,4698
2020-02-28 00:00:00,4699
2020-02-29 00:00:00,4720
2020-03-01 00:00:00,4751
2020-03-02 00:00:00,3763
2020-03-03 00:00:00,3772
2020-03-04 00:00:00,4754
